GeneID	Product_Description
PF3D7_0200800	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene
PF3D7_0200900	stevor, pseudogene
PF3D7_0201000	rifin
PF3D7_0201100	Plasmodium exported protein, unknown function, fragment
PF3D7_0201200	rifin
PF3D7_0201300	stevor
PF3D7_0201400	Plasmodium exported protein (hyp10), unknown function
PF3D7_0201500	Plasmodium exported protein (hyp9), unknown function
PF3D7_0201600	PHISTb domain-containing RESA-like protein 1
PF3D7_0201700	DnaJ protein, putative
PF3D7_0201800	knob associated heat shock protein 40
PF3D7_0201900	erythrocyte membrane protein 3
PF3D7_0202000	knob-associated histidine-rich protein
PF3D7_0202100	liver stage associated protein 2
PF3D7_0202200	EMP1-trafficking protein
PF3D7_0202300	Plasmodium exported protein (hyp11), unknown function
PF3D7_0202400	translation-enhancing factor
PF3D7_0202500	early transcribed membrane protein 2
PF3D7_0202600	nucleic acid-binding protein, putative
PF3D7_0202700	octaprenyl pyrophosphate synthase
PF3D7_0202800	conserved Plasmodium protein, unknown function
PF3D7_0202900	palmitoyltransferase DHHC12, putative
PF3D7_0203000	repetitive organellar protein, putative
PF3D7_0203100	protein kinase, putative
PF3D7_0203200	conserved Plasmodium protein, unknown function
PF3D7_0203300	ERCC1 nucleotide excision repair protein, putative
PF3D7_0203400	conserved Plasmodium protein, unknown function
PF3D7_0203500	tRNA Glutamine
PF3D7_0203600	conserved Plasmodium protein, unknown function
PF3D7_0203700	protein MAK16, putative
PF3D7_0203800	conserved Plasmodium protein, unknown function
PF3D7_0203900	5'-3' exonuclease, putative
PF3D7_0204000	condensin-2 complex subunit H2, putative
PF3D7_0204100	Sel1 repeat-containing protein, putative
PF3D7_0204200	conserved Plasmodium protein, unknown function
PF3D7_0204300	conserved Plasmodium protein, unknown function
PF3D7_0204400	dynein light chain, putative
PF3D7_0204500	aspartate transaminase
PF3D7_0204600	5'-3' exonuclease, putative
PF3D7_0204700	hexose transporter
PF3D7_0204800	3'-5' exonuclease, putative
PF3D7_0204900	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial, putative
PF3D7_0205000	conserved Plasmodium protein, unknown function
PF3D7_0205100	conserved Plasmodium protein, unknown function
PF3D7_0205200	MORN repeat protein, putative
PF3D7_0205300	conserved Plasmodium protein, unknown function
PF3D7_0205400	PCI domain-containing protein, putative
PF3D7_0205500	DNA-directed RNA polymerase II 16 kDa subunit, putative
PF3D7_0205600	conserved Plasmodium protein, unknown function
PF3D7_0205700	RNA-binding protein, putative
PF3D7_0205800	PH domain-containing protein, putative
PF3D7_0205900	26S proteasome regulatory subunit RPN1, putative
PF3D7_0206000	DNA repair protein RAD2, putative
PF3D7_0206100	cysteine desulfuration protein SufE
PF3D7_0206200	pantothenate transporter
PF3D7_0206300	pentafunctional AROM polypeptide, putative, pseudogene
PF3D7_0206500	conserved Plasmodium protein, unknown function
PF3D7_0206600	DNA-directed RNA polymerase III subunit RPC10, putative
PF3D7_0206700	adenylosuccinate lyase
PF3D7_0206800	merozoite surface protein 2
PF3D7_0206900	merozoite surface protein 5
PF3D7_0207000	merozoite surface protein 4
PF3D7_0207100	conserved Plasmodium protein, unknown function
PF3D7_0207200	iron-sulfur assembly protein, putative
PF3D7_0207300	serine repeat antigen 8
PF3D7_0207400	serine repeat antigen 7
PF3D7_0207500	serine repeat antigen 6
PF3D7_0207600	serine repeat antigen 5
PF3D7_0207700	serine repeat antigen 4
PF3D7_0207800	serine repeat antigen 3
PF3D7_0207900	serine repeat antigen 2
PF3D7_0208000	serine repeat antigen 1
PF3D7_0208100	conserved Plasmodium protein, unknown function
PF3D7_0208200	KRR1 small subunit processome component, putative
PF3D7_0208300	conserved Plasmodium protein, unknown function
PF3D7_0208400	conserved Plasmodium protein, unknown function
PF3D7_0208500	acyl carrier protein
PF3D7_0208600	ribosome-recycling factor
PF3D7_0208700	SHS2 domain-containing protein, putative
PF3D7_0208800	conserved Plasmodium protein, unknown function
PF3D7_0208900	6-cysteine protein P230p
PF3D7_0209000	6-cysteine protein P230
PF3D7_0209100	patatin-like phospholipase 1
PF3D7_0209200	exosome complex component MTR3, putative
PF3D7_0209300	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
PF3D7_0209400	conserved protein, unknown function
PF3D7_0209500	conserved Plasmodium protein, unknown function
PF3D7_0209600	transporter, putative
PF3D7_0209700	RING zinc finger protein, putative
PF3D7_0209800	ATP-dependent RNA helicase UAP56
PF3D7_0209900	non-coding RNA
PF3D7_0210000	secretory complex protein 61 gamma subunit
PF3D7_0210100	60S ribosomal protein L37ae, putative
PF3D7_0210200	conserved Plasmodium protein, unknown function
PF3D7_0210300	monocarboxylate transporter, putative
PF3D7_0210400	50S ribosomal protein L33, putative
PF3D7_0210500	conserved Plasmodium protein, unknown function
PF3D7_0210600	protein CERLI1
PF3D7_0210700	syntaxin, Qa-SNARE family
PF3D7_0210800	conserved Plasmodium protein, unknown function
PF3D7_0210900	conserved Plasmodium protein, unknown function
PF3D7_0211000	non-coding RNA
PF3D7_0211100	conserved Plasmodium protein, unknown function
PF3D7_0211200	ras-related protein Rab-5A
PF3D7_0211300	ubiquinol-cytochrome-c reductase complex assembly factor 1, putative
PF3D7_0211400	beta-ketoacyl-ACP synthase III
PF3D7_0211500	GAF domain-related protein, putative
PF3D7_0211600	UDP-N-acetylglucosamine transferase subunit ALG14, putative
PF3D7_0211700	tyrosine kinase-like protein, putative
PF3D7_0211800	asparagine--tRNA ligase
PF3D7_0211900	pseudouridine synthase, putative
PF3D7_0212000	GDP-fructose:GMP antiporter, putative
PF3D7_0212100	conserved Plasmodium protein, unknown function
PF3D7_0212200	ribosomal protein L12, mitochondrial, putative
PF3D7_0212300	eukaryotic peptide chain release factor subunit 1, putative
PF3D7_0212400	conserved Plasmodium membrane protein, unknown function
PF3D7_0212500	conserved Plasmodium protein, unknown function
PF3D7_0212600	secreted protein with altered thrombospondin repeat domain
PF3D7_0212700	SRR1-like protein
PF3D7_0212800	multidrug efflux pump, putative
PF3D7_0212900	arginyl-tRNA--protein transferase
PF3D7_0213000	conserved protein, unknown function
PF3D7_0213100	protein SIS1
PF3D7_0213200	conserved protein, unknown function
PF3D7_0213300	conserved protein, unknown function
PF3D7_0213400	protein kinase 7
PF3D7_0213500	tetratricopeptide repeat protein, putative
PF3D7_0213600	conserved Plasmodium protein, unknown function
PF3D7_0213700	conserved protein, unknown function
PF3D7_0213800	conserved protein, unknown function
PF3D7_0213900	RTR1 domain-containing protein, putative
PF3D7_0214000	T-complex protein 1 subunit theta
PF3D7_0214100	protein transport protein SEC31
PF3D7_0214200	ribosomal protein L13, mitochondrial
PF3D7_0214300	conserved Plasmodium protein, unknown function
PF3D7_0214400	conserved protein, unknown function
PF3D7_0214500	conserved Plasmodium protein, unknown function
PF3D7_0214600	serine/threonine protein kinase STK2, putative
PF3D7_0214700	conserved Plasmodium protein, unknown function
PF3D7_0214800	conserved Plasmodium membrane protein, unknown function
PF3D7_0214900	rhoptry neck protein 6
PF3D7_0215000	acyl-CoA synthetase
PF3D7_0215100	RING zinc finger protein, putative
PF3D7_0215200	conserved Plasmodium protein, unknown function
PF3D7_0215300	acyl-CoA synthetase
PF3D7_0215400	conserved Plasmodium protein, unknown function
PF3D7_0215500	conserved Plasmodium protein, unknown function
PF3D7_0215600	conserved Plasmodium protein, unknown function
PF3D7_0215700	DNA-directed RNA polymerase II subunit RPB2, putative
PF3D7_0215800	origin recognition complex subunit 5
PF3D7_0215900	palmitoyltransferase DHHC11, putative
PF3D7_0216000	DEAD/DEAH box helicase, putative
PF3D7_0216100	conserved Plasmodium protein, unknown function
PF3D7_0216200	Alba domain-containing protein, putative
PF3D7_0216300	conserved Plasmodium protein, unknown function
PF3D7_0216400	vacuolar protein sorting-associated protein 45
PF3D7_0216500	conserved Plasmodium protein, unknown function
PF3D7_0216600	sugar transporter, putative
PF3D7_0216700	autophagy-related protein 11, putative
PF3D7_0216800	TMEM121 domain-containing protein, putative
PF3D7_0216900	conserved Plasmodium protein, unknown function
PF3D7_0217000	conserved Plasmodium membrane protein, unknown function
PF3D7_0217100	ATP synthase subunit alpha, mitochondrial
PF3D7_0217200	conserved Plasmodium protein, unknown function
PF3D7_0217300	AP-2 complex subunit sigma, putative
PF3D7_0217400	conserved protein, unknown function
PF3D7_0217500	calcium-dependent protein kinase 1
PF3D7_0217600	conserved Plasmodium protein, unknown function
PF3D7_0217700	E2F-associated phosphoprotein, putative
PF3D7_0217800	40S ribosomal protein S26
PF3D7_0217900	thioesterase/thiol ester dehydrase-isomerase, putative
PF3D7_0218000	replication factor C subunit 2, putative
PF3D7_0218100	conserved protein, unknown function
PF3D7_0218200	SUZ domain-containing protein, putative
PF3D7_0218300	rRNA methyltransferase, putative
PF3D7_0218400	ATP-dependent RNA helicase DDX47, putative
PF3D7_0218500	small nuclear ribonucleoprotein Sm D2, putative
PF3D7_0218600	patatin-like phospholipase, putative
PF3D7_0218700	pre-mRNA-processing protein 45, putative
PF3D7_0218800	ribonuclease P
PF3D7_0218900	Plasmodium RNA of unknown function RUF2
PF3D7_0219000	small nucleolar RNA snoR01
PF3D7_0219100	saccharopine dehydrogenase, putative
PF3D7_0219200	40S ribosomal protein S30
PF3D7_0219300	conserved Plasmodium protein, unknown function
PF3D7_0219400	ribosome associated membrane protein RAMP4, putative
PF3D7_0219500	pseudouridine synthase, putative
PF3D7_0219600	replication factor C subunit 1, putative
PF3D7_0219700	Plasmodium exported protein (PHISTc), unknown function
PF3D7_0219800	Plasmodium exported protein (PHISTc), unknown function
PF3D7_0219900	Plasmodium exported protein, unknown function
PF3D7_0220000	liver stage antigen 3
PF3D7_0220100	DnaJ protein, putative
PF3D7_0220200	Plasmodium exported protein, unknown function
PF3D7_0220300	Plasmodium exported protein, unknown function
PF3D7_0220400	DnaJ protein, putative, pseudogene
PF3D7_0220500	Plasmodium exported protein (hyp2), unknown function
PF3D7_0220600	Plasmodium exported protein (hyp9), unknown function
PF3D7_0220700	Plasmodium exported protein (hyp9), unknown function
PF3D7_0220800	cytoadherence linked asexual protein 2
PF3D7_0220900	Plasmodium exported protein, unknown function, pseudogene
PF3D7_0221000	Plasmodium exported protein, unknown function
PF3D7_0221100	Plasmodium exported protein, unknown function, pseudogene
PF3D7_0221200	Plasmodium exported protein (hyp15), unknown function
PF3D7_0221300	Plasmodium exported protein, unknown function, pseudogene
PF3D7_0221400	stevor
PF3D7_0221500	Pfmc-2TM Maurer's cleft two transmembrane protein, pseudogene
PF3D7_0221600	Plasmodium exported protein, unknown function, pseudogene
PF3D7_0221650	Plasmodium exported protein, unknown function, pseudogene
PF3D7_0221700	Plasmodium exported protein, unknown function
PF3D7_0221800	hypothetical protein
PF3D7_0221900	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0222000	exported protein family 1
PF3D7_0222100	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0222200	exported protein family 3
PF3D7_0222300	exported protein family 4, pseudogene
PF3D7_0222400	rifin, pseudogene
PF3D7_0222500	rifin
PF3D7_0222600	rifin
PF3D7_0222700	rifin
PF3D7_0222800	stevor
PF3D7_0222900	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene
PF3D7_0223100	rifin
PF3D7_0223200	rifin
PF3D7_0223300	erythrocyte membrane protein 1 (PfEMP1), exon 2
PF3D7_0223400	rifin
PF3D7_0223500	erythrocyte membrane protein 1, PfEMP1
PF3D7_0300100	erythrocyte membrane protein 1, PfEMP1
PF3D7_0300200	rifin
PF3D7_0300300	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene
PF3D7_0300400	stevor
PF3D7_0300500	rifin
PF3D7_0300600	Plasmodium exported protein, unknown function, fragment
PF3D7_0300700	rifin
PF3D7_0300800	rifin
PF3D7_0300900	stevor
PF3D7_0301000	acyl-CoA synthetase
PF3D7_0301100	Plasmodium exported protein (hyp13), unknown function
PF3D7_0301200	serine/threonine protein kinase, FIKK family
PF3D7_0301300	epoxide hydrolase 1
PF3D7_0301400	Plasmodium exported protein, unknown function
PF3D7_0301500	Plasmodium exported protein, unknown function
PF3D7_0301600	Plasmodium exported protein (hyp1), unknown function
PF3D7_0301700	Plasmodium exported protein, unknown function
PF3D7_0301800	Plasmodium exported protein, unknown function
PF3D7_0301900	conserved protein, unknown function
PF3D7_0302000	pre-mRNA-splicing factor PRP46, putative
PF3D7_0302100	serine/threonine protein kinase
PF3D7_0302200	cytoadherence linked asexual protein 3.2
PF3D7_0302300	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0302400	non-coding RNA
PF3D7_0302500	cytoadherence linked asexual protein 3.1
PF3D7_0302600	ABC transporter B family member 4, putative
PF3D7_0302700	CDGSH iron-sulfur domain-containing protein, putative
PF3D7_0302800	RNA-binding protein, putative
PF3D7_0302900	exportin-1, putative
PF3D7_0303000	N-ethylmaleimide-sensitive fusion protein
PF3D7_0303100	CLP1 P-loop domain-containing protein, putative
PF3D7_0303200	HAD superfamily protein, putative
PF3D7_0303300	DNA-directed RNA polymerases I, II, and III subunit RPABC2, putative
PF3D7_0303400	palmitoyltransferase DHHC1
PF3D7_0303500	spindle pole body protein, putative
PF3D7_0303600	plasmoredoxin
PF3D7_0303700	lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex
PF3D7_0303800	IBR domain protein, putative
PF3D7_0303900	phosphatidylethanolamine-binding protein, putative
PF3D7_0304000	inner membrane complex protein 1a, putative
PF3D7_0304100	inner membrane complex protein 1e, putative
PF3D7_0304200	EH domain-containing protein
PF3D7_0304300	conserved Plasmodium protein, unknown function
PF3D7_0304400	60S ribosomal protein L44
PF3D7_0304500	1-cys-glutaredoxin-like protein-1
PF3D7_0304600	circumsporozoite (CS) protein
PF3D7_0304700	conserved Plasmodium protein, unknown function
PF3D7_0304800	conserved Plasmodium membrane protein, unknown function
PF3D7_0304900	conserved protein, unknown function
PF3D7_0305000	elongation factor Ts
PF3D7_0305100	conserved Plasmodium protein, unknown function
PF3D7_0305200	GRIP domain-containing protein, putative
PF3D7_0305300	transporter, putative
PF3D7_0305400	conserved protein, unknown function
PF3D7_0305500	protein dopey homolog, putative
PF3D7_0305600	DNA-(apurinic or apyrimidinic site) lyase, putative
PF3D7_0305700	ubiquitin-conjugating enzyme E2, putative
PF3D7_0305800	P-loop containing nucleoside triphosphate hydrolase, putative
PF3D7_0305900	conserved Plasmodium protein, unknown function
PF3D7_0306000	cytochrome b-c1 complex subunit 8, putative
PF3D7_0306100	conserved Plasmodium protein, unknown function
PF3D7_0306200	activator of Hsp90 ATPase
PF3D7_0306300	glutaredoxin 1
PF3D7_0306400	FAD-dependent glycerol-3-phosphate dehydrogenase, putative
PF3D7_0306500	cytochrome c oxidase subunit ApiCOX35, putative
PF3D7_0306600	ATP synthase-associated protein, putative
PF3D7_0306700	ER membrane protein complex subunit 5, putative
PF3D7_0306800	T-complex protein 1 subunit beta
PF3D7_0306900	40S ribosomal protein S23, putative
PF3D7_0307000	small nucleolar RNA snoR03
PF3D7_0307100	40S ribosomal protein S12, putative
PF3D7_0307200	60S ribosomal protein L7, putative
PF3D7_0307300	microtubule-associated protein RP/EB family, putative
PF3D7_0307400	ATP-dependent Clp protease proteolytic subunit
PF3D7_0307500	spindle and kinetochore-associated protein 2, putative
PF3D7_0307600	conserved Plasmodium protein, unknown function
PF3D7_0307700	conserved Plasmodium protein, unknown function
PF3D7_0307800	conserved Plasmodium protein, unknown function
PF3D7_0307900	conserved Plasmodium protein, unknown function
PF3D7_0308000	DNA polymerase delta small subunit, putative
PF3D7_0308100	zinc finger protein, putative
PF3D7_0308200	T-complex protein 1 subunit eta
PF3D7_0308300	conserved Plasmodium protein, unknown function
PF3D7_0308400	U4 spliceosomal RNA
PF3D7_0308500	activator of Hsp90 ATPase, putative
PF3D7_0308600	pre-mRNA-processing factor 19, putative
PF3D7_0308700	conserved protein, unknown function
PF3D7_0308800	conserved protein, unknown function
PF3D7_0308900	splicing factor 3B subunit 1, putative
PF3D7_0309000	dual specificity protein phosphatase
PF3D7_0309100	OMD protein, putative
PF3D7_0309200	serine/threonine protein kinase ARK2, putative
PF3D7_0309300	N2227-like protein, putative
PF3D7_0309400	small nucleolar RNA Me18S-Um1356
PF3D7_0309500	asparagine synthetase [glutamine-hydrolyzing], putative
PF3D7_0309600	60S acidic ribosomal protein P2
PF3D7_0309700	SECIS-binding protein 2, putative
PF3D7_0309800	YTH domain-containing protein 2, putative
PF3D7_0309900	conserved Plasmodium protein, unknown function
PF3D7_0310000	50S ribosomal protein L9, apicoplast, putative
PF3D7_0310100	calcium-dependent protein kinase 3
PF3D7_0310200	phd finger protein, putative
PF3D7_0310300	phosphoglycerate mutase, putative
PF3D7_0310400	parasite-infected erythrocyte surface protein
PF3D7_0310500	ATP-dependent RNA helicase DHX57, putative
PF3D7_0310600	eukaryotic translation initiation factor 3 subunit K, putative
PF3D7_0310700	trafficking protein particle complex subunit 4, putative
PF3D7_0310800	conserved Plasmodium protein, unknown function
PF3D7_0310900	conserved Plasmodium protein, unknown function
PF3D7_0311000	conserved Plasmodium protein, unknown function
PF3D7_0311100	pre-mRNA splicing factor, putative
PF3D7_0311200	valine--tRNA ligase, putative
PF3D7_0311300	phosphatidylinositol 3- and 4-kinase, putative
PF3D7_0311400	kinase-related protein PKRP, putative
PF3D7_0311500	conserved protein, unknown function
PF3D7_0311600	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST1, putative
PF3D7_0311700	plasmepsin VI
PF3D7_0311800	ATP synthase F0 subunit d-like protein, putative
PF3D7_0311900	heptatricopeptide repeat-containing protein, putative
PF3D7_0312000	conserved protein, unknown function
PF3D7_0312100	E3 ubiquitin-protein ligase
PF3D7_0312200	tetratricopeptide repeat protein, putative
PF3D7_0312300	26S proteasome regulatory subunit RPN12, putative
PF3D7_0312400	glycogen synthase kinase 3
PF3D7_0312500	major facilitator superfamily-related transporter, putative
PF3D7_0312600	tRNA Valine
PF3D7_0312700	tRNA Isoleucine
PF3D7_0312800	60S ribosomal protein L26, putative
PF3D7_0312900	hypothetical protein
PF3D7_0313000	conserved Plasmodium protein, unknown function
PF3D7_0313100	ubiquitin-protein ligase, putative
PF3D7_0313200	conserved protein, unknown function
PF3D7_0313300	YGGT family protein, putative
PF3D7_0313400	conserved Plasmodium protein, unknown function
PF3D7_0313500	Ras-like G protein
PF3D7_0313600	conserved Plasmodium protein, unknown function
PF3D7_0313700	conserved Plasmodium protein, unknown function
PF3D7_0313800	conserved Plasmodium protein, unknown function
PF3D7_0313900	conserved Plasmodium protein, unknown function
PF3D7_0314000	HSP20-like chaperone, putative
PF3D7_0314100	vesicle transport v-SNARE protein, putative
PF3D7_0314200	conserved Plasmodium protein, unknown function
PF3D7_0314300	DER1-like protein
PF3D7_0314400	serine/threonine protein phosphatase 6, putative
PF3D7_0314500	conserved Plasmodium protein, unknown function
PF3D7_0314600	conserved protein, unknown function
PF3D7_0314700	RING finger protein RNF1
PF3D7_0314800	conserved Plasmodium protein, unknown function
PF3D7_0314900	conserved Plasmodium membrane protein, unknown function
PF3D7_0315000	zinc finger protein, putative
PF3D7_0315100	eukaryotic translation initiation factor 4E
PF3D7_0315200	circumsporozoite- and TRAP-related protein
PF3D7_0315300	conserved Plasmodium protein, unknown function
