Transcript_ID	Product_Description
PF3D7_0205900.1	26S proteasome regulatory subunit RPN1, putative
PF3D7_0206000.1	DNA repair protein RAD2, putative
PF3D7_0206100.1	cysteine desulfuration protein SufE
PF3D7_0206200.1	pantothenate transporter
PF3D7_0206300.1	pentafunctional AROM polypeptide, putative, pseudogene
PF3D7_0206500.1	conserved Plasmodium protein, unknown function
PF3D7_0206600.1	DNA-directed RNA polymerase III subunit RPC10, putative
PF3D7_0206700.1	adenylosuccinate lyase
PF3D7_0206800.1	merozoite surface protein 2
PF3D7_0206900.1	merozoite surface protein 5
PF3D7_0206900.2	merozoite surface protein 5
PF3D7_0207000.1	merozoite surface protein 4
PF3D7_0207100.1	conserved Plasmodium protein, unknown function
PF3D7_0207200.1	iron-sulfur assembly protein, putative
PF3D7_0207300.1	serine repeat antigen 8
PF3D7_0207400.1	serine repeat antigen 7
PF3D7_0207500.1	serine repeat antigen 6
PF3D7_0207600.1	serine repeat antigen 5
PF3D7_0207700.1	serine repeat antigen 4
PF3D7_0207800.1	serine repeat antigen 3
PF3D7_0207900.1	serine repeat antigen 2
PF3D7_0208000.1	serine repeat antigen 1
PF3D7_0208100.1	conserved Plasmodium protein, unknown function
PF3D7_0208200.1	KRR1 small subunit processome component, putative
PF3D7_0208300.1	conserved Plasmodium protein, unknown function
PF3D7_0208400.1	conserved Plasmodium protein, unknown function
PF3D7_0208500.1	acyl carrier protein
PF3D7_0208600.1	ribosome-recycling factor
PF3D7_0208700.1	SHS2 domain-containing protein, putative
PF3D7_0208700.2	unspecified product
PF3D7_0208800.1	conserved Plasmodium protein, unknown function
PF3D7_0208900.1	6-cysteine protein P230p
PF3D7_0209000.1	6-cysteine protein P230
PF3D7_0209100.1	patatin-like phospholipase 1
PF3D7_0209200.1	exosome complex component MTR3, putative
PF3D7_0209300.1	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
PF3D7_0209400.1	conserved protein, unknown function
PF3D7_0209500.1	conserved Plasmodium protein, unknown function
PF3D7_0209600.1	transporter, putative
PF3D7_0209700.1	RING zinc finger protein, putative
PF3D7_0209800.1	ATP-dependent RNA helicase UAP56
PF3D7_0209900.1	non-coding RNA
PF3D7_0210000.1	secretory complex protein 61 gamma subunit
PF3D7_0210100.1	60S ribosomal protein L37ae, putative
PF3D7_0210100.2	60S ribosomal protein L37ae, putative
PF3D7_0210200.1	conserved Plasmodium protein, unknown function
PF3D7_0210300.1	monocarboxylate transporter, putative
PF3D7_0210400.1	50S ribosomal protein L33, putative
PF3D7_0210500.1	conserved Plasmodium protein, unknown function
PF3D7_0210600.1	protein CERLI1
PF3D7_0210700.1	syntaxin, Qa-SNARE family
PF3D7_0210800.1	conserved Plasmodium protein, unknown function
PF3D7_0210900.1	conserved Plasmodium protein, unknown function
PF3D7_0211000.1	non-coding RNA
PF3D7_0211100.1	conserved Plasmodium protein, unknown function
PF3D7_0211200.1	ras-related protein Rab-5A
PF3D7_0211300.1	ubiquinol-cytochrome-c reductase complex assembly factor 1, putative
PF3D7_0211400.1	beta-ketoacyl-ACP synthase III
PF3D7_0211500.1	GAF domain-related protein, putative
PF3D7_0211600.1	UDP-N-acetylglucosamine transferase subunit ALG14, putative
PF3D7_0211700.1	tyrosine kinase-like protein, putative
PF3D7_0211800.1	asparagine--tRNA ligase
PF3D7_0211900.1	pseudouridine synthase, putative
PF3D7_0212000.1	GDP-fructose:GMP antiporter, putative
PF3D7_0212100.1	conserved Plasmodium protein, unknown function
PF3D7_0212200.1	ribosomal protein L12, mitochondrial, putative
PF3D7_0212300.1	eukaryotic peptide chain release factor subunit 1, putative
PF3D7_0212400.1	conserved Plasmodium membrane protein, unknown function
PF3D7_0212500.1	conserved Plasmodium protein, unknown function
PF3D7_0212600.1	secreted protein with altered thrombospondin repeat domain
PF3D7_0212700.1	SRR1-like protein
PF3D7_0212800.1	multidrug efflux pump, putative
PF3D7_0212900.1	arginyl-tRNA--protein transferase
PF3D7_0213000.1	conserved protein, unknown function
PF3D7_0213100.1	protein SIS1
PF3D7_0213200.1	conserved protein, unknown function
PF3D7_0213300.1	conserved protein, unknown function
PF3D7_0213400.1	protein kinase 7
PF3D7_0213500.1	tetratricopeptide repeat protein, putative
PF3D7_0213600.1	conserved Plasmodium protein, unknown function
PF3D7_0213700.1	conserved protein, unknown function
PF3D7_0213800.1	conserved protein, unknown function
PF3D7_0213900.1	RTR1 domain-containing protein, putative
PF3D7_0214000.1	T-complex protein 1 subunit theta
PF3D7_0214100.1	protein transport protein SEC31
PF3D7_0214200.1	ribosomal protein L13, mitochondrial
PF3D7_0214300.1	conserved Plasmodium protein, unknown function
PF3D7_0214400.1	conserved protein, unknown function
PF3D7_0214500.1	conserved Plasmodium protein, unknown function
PF3D7_0214600.1	serine/threonine protein kinase STK2, putative
PF3D7_0214700.1	conserved Plasmodium protein, unknown function
PF3D7_0214800.1	conserved Plasmodium membrane protein, unknown function
PF3D7_0214900.1	rhoptry neck protein 6
PF3D7_0215000.1	acyl-CoA synthetase
PF3D7_0215100.1	RING zinc finger protein, putative
PF3D7_0215200.1	conserved Plasmodium protein, unknown function
PF3D7_0215300.1	acyl-CoA synthetase
PF3D7_0215400.1	conserved Plasmodium protein, unknown function
PF3D7_0215500.1	conserved Plasmodium protein, unknown function
PF3D7_0215600.1	conserved Plasmodium protein, unknown function
PF3D7_0215700.1	DNA-directed RNA polymerase II subunit RPB2, putative
PF3D7_0215800.1	origin recognition complex subunit 5
PF3D7_0215900.1	palmitoyltransferase DHHC11, putative
PF3D7_0216000.1	DEAD/DEAH box helicase, putative
PF3D7_0216100.1	conserved Plasmodium protein, unknown function
PF3D7_0216200.1	Alba domain-containing protein, putative
PF3D7_0216300.1	conserved Plasmodium protein, unknown function
PF3D7_0216400.1	vacuolar protein sorting-associated protein 45
PF3D7_0216500.1	conserved Plasmodium protein, unknown function
PF3D7_0216600.1	sugar transporter, putative
PF3D7_0216700.1	autophagy-related protein 11, putative
PF3D7_0216700.2	autophagy-related protein 11, putative
PF3D7_0216800.1	TMEM121 domain-containing protein, putative
PF3D7_0216900.1	conserved Plasmodium protein, unknown function
PF3D7_0217000.1	conserved Plasmodium membrane protein, unknown function
PF3D7_0217100.1	ATP synthase subunit alpha, mitochondrial
PF3D7_0217200.1	conserved Plasmodium protein, unknown function
PF3D7_0217300.1	AP-2 complex subunit sigma, putative
PF3D7_0217400.1	conserved protein, unknown function
PF3D7_0217500.1	calcium-dependent protein kinase 1
PF3D7_0217600.1	conserved Plasmodium protein, unknown function
PF3D7_0217700.1	E2F-associated phosphoprotein, putative
PF3D7_0217800.1	40S ribosomal protein S26
PF3D7_0217900.1	thioesterase/thiol ester dehydrase-isomerase, putative
PF3D7_0218000.1	replication factor C subunit 2, putative
PF3D7_0218100.1	conserved protein, unknown function
PF3D7_0218200.1	SUZ domain-containing protein, putative
PF3D7_0218300.1	rRNA methyltransferase, putative
PF3D7_0218400.1	ATP-dependent RNA helicase DDX47, putative
PF3D7_0218500.1	small nuclear ribonucleoprotein Sm D2, putative
PF3D7_0218600.1	patatin-like phospholipase, putative
PF3D7_0218700.1	pre-mRNA-processing protein 45, putative
PF3D7_0218800.1	ribonuclease P
PF3D7_0218900.1	Plasmodium RNA of unknown function RUF2
PF3D7_0219000.1	small nucleolar RNA snoR01
PF3D7_0219100.1	saccharopine dehydrogenase, putative
PF3D7_0219200.1	40S ribosomal protein S30
PF3D7_0219300.1	conserved Plasmodium protein, unknown function
PF3D7_0219400.1	ribosome associated membrane protein RAMP4, putative
PF3D7_0219400.2	unspecified product
PF3D7_0219500.1	pseudouridine synthase, putative
PF3D7_0219600.1	replication factor C subunit 1, putative
PF3D7_0219700.1	Plasmodium exported protein (PHISTc), unknown function
PF3D7_0219800.1	Plasmodium exported protein (PHISTc), unknown function
PF3D7_0219900.1	Plasmodium exported protein, unknown function
PF3D7_0220000.1	liver stage antigen 3
PF3D7_0220100.1	DnaJ protein, putative
PF3D7_0220200.1	Plasmodium exported protein, unknown function
PF3D7_0220300.1	Plasmodium exported protein, unknown function
PF3D7_0220400.1	DnaJ protein, putative, pseudogene
PF3D7_0220500.1	Plasmodium exported protein (hyp2), unknown function
PF3D7_0220600.1	Plasmodium exported protein (hyp9), unknown function
PF3D7_0220700.1	Plasmodium exported protein (hyp9), unknown function
PF3D7_0220800.1	cytoadherence linked asexual protein 2
PF3D7_0220900.1	Plasmodium exported protein, unknown function, pseudogene
PF3D7_0221000.1	Plasmodium exported protein, unknown function
PF3D7_0221100.1	Plasmodium exported protein, unknown function, pseudogene
PF3D7_0221200.1	Plasmodium exported protein (hyp15), unknown function
PF3D7_0221300.1	Plasmodium exported protein, unknown function, pseudogene
PF3D7_0221400.1	stevor
PF3D7_0221500.1	Pfmc-2TM Maurer's cleft two transmembrane protein, pseudogene
PF3D7_0221600.1	Plasmodium exported protein, unknown function, pseudogene
PF3D7_0221650.1	Plasmodium exported protein, unknown function, pseudogene
PF3D7_0221700.1	Plasmodium exported protein, unknown function
PF3D7_0221800.1	hypothetical protein
PF3D7_0221900.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0222000.1	exported protein family 1
PF3D7_0222100.1	Pfmc-2TM Maurer's cleft two transmembrane protein
PF3D7_0222200.1	exported protein family 3
PF3D7_0222300.1	exported protein family 4, pseudogene
PF3D7_0222400.1	rifin, pseudogene
PF3D7_0222500.1	rifin
PF3D7_0222600.1	rifin
PF3D7_0222700.1	rifin
PF3D7_0222800.1	stevor
PF3D7_0222900.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene
PF3D7_0223100.1	rifin
PF3D7_0223200.1	rifin
PF3D7_0223300.1	erythrocyte membrane protein 1 (PfEMP1), exon 2
PF3D7_0223400.1	rifin
PF3D7_0223500.1	erythrocyte membrane protein 1, PfEMP1
PF3D7_0300100.1	erythrocyte membrane protein 1, PfEMP1
PF3D7_0300200.1	rifin
PF3D7_0300300.1	erythrocyte membrane protein 1 (PfEMP1), exon 2, pseudogene
PF3D7_0300400.1	stevor
PF3D7_0300500.1	rifin
PF3D7_0300600.1	Plasmodium exported protein, unknown function, fragment
PF3D7_0300700.1	rifin
PF3D7_0300800.1	rifin
PF3D7_0300900.1	stevor
PF3D7_0301000.1	acyl-CoA synthetase
PF3D7_0301100.1	Plasmodium exported protein (hyp13), unknown function
PF3D7_0301200.1	serine/threonine protein kinase, FIKK family
PF3D7_0301300.1	epoxide hydrolase 1
PF3D7_0301400.1	Plasmodium exported protein, unknown function
PF3D7_0301500.1	Plasmodium exported protein, unknown function
PF3D7_0301600.1	Plasmodium exported protein (hyp1), unknown function
PF3D7_0301700.1	Plasmodium exported protein, unknown function
PF3D7_0301800.1	Plasmodium exported protein, unknown function
PF3D7_0301900.1	conserved protein, unknown function
PF3D7_0302000.1	pre-mRNA-splicing factor PRP46, putative
PF3D7_0302100.1	serine/threonine protein kinase
PF3D7_0302200.1	cytoadherence linked asexual protein 3.2
PF3D7_0302300.1	erythrocyte membrane protein 1 (PfEMP1), pseudogene
PF3D7_0302400.1	non-coding RNA
PF3D7_0302500.1	cytoadherence linked asexual protein 3.1
PF3D7_0302600.1	ABC transporter B family member 4, putative
PF3D7_0302700.1	CDGSH iron-sulfur domain-containing protein, putative
PF3D7_0302800.1	RNA-binding protein, putative
PF3D7_0302900.1	exportin-1, putative
PF3D7_0303000.1	N-ethylmaleimide-sensitive fusion protein
PF3D7_0303100.1	CLP1 P-loop domain-containing protein, putative
PF3D7_0303200.1	HAD superfamily protein, putative
PF3D7_0303300.1	DNA-directed RNA polymerases I, II, and III subunit RPABC2, putative
PF3D7_0303400.1	palmitoyltransferase DHHC1
PF3D7_0303500.1	spindle pole body protein, putative
PF3D7_0303600.1	plasmoredoxin
PF3D7_0303700.1	lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex
PF3D7_0303800.1	IBR domain protein, putative
PF3D7_0303900.1	phosphatidylethanolamine-binding protein, putative
PF3D7_0304000.1	inner membrane complex protein 1a, putative
PF3D7_0304100.1	inner membrane complex protein 1e, putative
PF3D7_0304200.1	EH domain-containing protein
PF3D7_0304300.1	conserved Plasmodium protein, unknown function
PF3D7_0304400.1	60S ribosomal protein L44
PF3D7_0304500.1	1-cys-glutaredoxin-like protein-1
PF3D7_0304600.1	circumsporozoite (CS) protein
PF3D7_0304700.1	conserved Plasmodium protein, unknown function
PF3D7_0304800.1	conserved Plasmodium membrane protein, unknown function
PF3D7_0304900.1	conserved protein, unknown function
PF3D7_0305000.1	elongation factor Ts
PF3D7_0305100.1	conserved Plasmodium protein, unknown function
PF3D7_0305200.1	GRIP domain-containing protein, putative
PF3D7_0305300.1	transporter, putative
PF3D7_0305400.1	conserved protein, unknown function
PF3D7_0305500.1	protein dopey homolog, putative
PF3D7_0305600.1	DNA-(apurinic or apyrimidinic site) lyase, putative
PF3D7_0305700.1	ubiquitin-conjugating enzyme E2, putative
PF3D7_0305800.1	P-loop containing nucleoside triphosphate hydrolase, putative
PF3D7_0305900.1	conserved Plasmodium protein, unknown function
PF3D7_0306000.1	cytochrome b-c1 complex subunit 8, putative
PF3D7_0306100.1	conserved Plasmodium protein, unknown function
PF3D7_0306200.1	activator of Hsp90 ATPase
PF3D7_0306300.1	glutaredoxin 1
PF3D7_0306400.1	FAD-dependent glycerol-3-phosphate dehydrogenase, putative
PF3D7_0306500.1	cytochrome c oxidase subunit ApiCOX35, putative
PF3D7_0306600.1	ATP synthase-associated protein, putative
PF3D7_0306700.1	ER membrane protein complex subunit 5, putative
PF3D7_0306800.1	T-complex protein 1 subunit beta
PF3D7_0306900.1	40S ribosomal protein S23, putative
PF3D7_0307000.1	small nucleolar RNA snoR03
PF3D7_0307100.1	40S ribosomal protein S12, putative
PF3D7_0307200.1	60S ribosomal protein L7, putative
PF3D7_0307300.1	microtubule-associated protein RP/EB family, putative
PF3D7_0307400.1	ATP-dependent Clp protease proteolytic subunit
PF3D7_0307500.1	spindle and kinetochore-associated protein 2, putative
PF3D7_0307600.1	conserved Plasmodium protein, unknown function
PF3D7_0307700.1	conserved Plasmodium protein, unknown function
PF3D7_0307800.1	conserved Plasmodium protein, unknown function
PF3D7_0307900.1	conserved Plasmodium protein, unknown function
PF3D7_0308000.1	DNA polymerase delta small subunit, putative
PF3D7_0308100.1	zinc finger protein, putative
PF3D7_0308200.1	T-complex protein 1 subunit eta
PF3D7_0308300.1	conserved Plasmodium protein, unknown function
PF3D7_0308400.1	U4 spliceosomal RNA
PF3D7_0308500.1	activator of Hsp90 ATPase, putative
PF3D7_0308600.1	pre-mRNA-processing factor 19, putative
PF3D7_0308700.1	conserved protein, unknown function
PF3D7_0308800.1	conserved protein, unknown function
PF3D7_0308900.1	splicing factor 3B subunit 1, putative
PF3D7_0309000.1	dual specificity protein phosphatase
PF3D7_0309100.1	OMD protein, putative
PF3D7_0309200.1	serine/threonine protein kinase ARK2, putative
PF3D7_0309300.1	N2227-like protein, putative
PF3D7_0309400.1	small nucleolar RNA Me18S-Um1356
PF3D7_0309500.1	asparagine synthetase [glutamine-hydrolyzing], putative
PF3D7_0309600.1	60S acidic ribosomal protein P2
PF3D7_0309700.1	SECIS-binding protein 2, putative
PF3D7_0309800.1	YTH domain-containing protein 2, putative
PF3D7_0309900.1	conserved Plasmodium protein, unknown function
PF3D7_0310000.1	50S ribosomal protein L9, apicoplast, putative
PF3D7_0310100.1	calcium-dependent protein kinase 3
PF3D7_0310200.1	phd finger protein, putative
PF3D7_0310300.1	phosphoglycerate mutase, putative
PF3D7_0310400.1	parasite-infected erythrocyte surface protein
PF3D7_0310500.1	ATP-dependent RNA helicase DHX57, putative
